m,classical_distance,codes,fraction
3,2,2151,0.226421
3,4,5556,0.584842
3,6,1793,0.188737
4,2,602,0.182424
4,4,1329,0.402727
4,6,1351,0.409394
4,8,18,0.005455
5,2,227,0.166912
5,4,343,0.252206
5,6,711,0.522794
5,8,79,0.058088
6,2,102,0.155488
6,4,143,0.217988
6,6,279,0.425305
6,8,132,0.201220
7,2,42,0.119318
7,4,52,0.147727
7,6,130,0.369318
7,8,125,0.355114
7,10,3,0.008523
8,2,259,0.105757
8,4,315,0.128624
8,6,735,0.300122
8,8,976,0.398530
8,10,164,0.066966
