m,p,status,primary_mean,pointwise_low,pointwise_high,cluster_se,between_code_std,pooled_binomial_se,failures,trials
3,0.0010,REPORTABLE,0.014123,0.013175,0.015088,0.000493,0.048088,0.000494,805,57000
3,0.0015,REPORTABLE,0.019158,0.018018,0.020316,0.000584,0.056934,0.000574,1092,57000
3,0.0025,REPORTABLE,0.031175,0.029754,0.032614,0.000728,0.070975,0.000728,1777,57000
3,0.0040,REPORTABLE,0.047000,0.045263,0.048754,0.000892,0.086919,0.000886,2679,57000
3,0.0060,REPORTABLE,0.068263,0.066122,0.070369,0.001090,0.106207,0.001056,3891,57000
3,0.0100,REPORTABLE,0.117298,0.114561,0.120053,0.001397,0.136209,0.001348,6686,57000
3,0.0160,REPORTABLE,0.199544,0.196158,0.202965,0.001739,0.169514,0.001674,11374,57000
3,0.0250,REPORTABLE,0.322860,0.318929,0.326842,0.002024,0.197283,0.001958,18403,57000
3,0.0400,REPORTABLE,0.538754,0.534579,0.542930,0.002139,0.208440,0.002088,30709,57000
3,0.0700,REPORTABLE,0.861649,0.858772,0.864491,0.001455,0.141798,0.001446,49114,57000
4,0.0010,REPORTABLE,0.020758,0.018788,0.022828,0.001033,0.059313,0.001013,411,19800
4,0.0015,REPORTABLE,0.030505,0.028131,0.032879,0.001224,0.070330,0.001222,604,19800
4,0.0025,REPORTABLE,0.046263,0.043333,0.049293,0.001515,0.087039,0.001493,916,19800
4,0.0040,REPORTABLE,0.076263,0.072576,0.079899,0.001884,0.108226,0.001886,1510,19800
4,0.0060,REPORTABLE,0.107475,0.103131,0.111870,0.002244,0.128915,0.002201,2128,19800
4,0.0100,REPORTABLE,0.181566,0.176010,0.187222,0.002839,0.163082,0.002740,3595,19800
4,0.0160,REPORTABLE,0.286919,0.280556,0.293434,0.003291,0.189060,0.003215,5681,19800
4,0.0250,REPORTABLE,0.452727,0.445455,0.460101,0.003728,0.214149,0.003537,8964,19800
4,0.0400,REPORTABLE,0.703131,0.696465,0.709900,0.003420,0.196463,0.003247,13922,19800
4,0.0700,REPORTABLE,0.963535,0.960859,0.966263,0.001372,0.078831,0.001332,19078,19800
5,0.0010,REPORTABLE,0.036887,0.032843,0.041054,0.002111,0.077833,0.002087,301,8160
5,0.0015,REPORTABLE,0.048039,0.043505,0.052696,0.002361,0.087083,0.002367,392,8160
5,0.0025,REPORTABLE,0.067892,0.062500,0.073284,0.002759,0.101731,0.002785,554,8160
5,0.0040,REPORTABLE,0.105882,0.099142,0.112868,0.003504,0.129234,0.003406,864,8160
5,0.0060,REPORTABLE,0.142525,0.134804,0.150490,0.004033,0.148746,0.003870,1163,8160
5,0.0100,REPORTABLE,0.248162,0.238600,0.257601,0.004873,0.179699,0.004782,2025,8160
5,0.0160,REPORTABLE,0.378431,0.367402,0.389216,0.005581,0.205816,0.005369,3088,8160
5,0.0250,REPORTABLE,0.572917,0.561275,0.584436,0.005857,0.216004,0.005476,4675,8160
5,0.0400,REPORTABLE,0.821814,0.813235,0.830270,0.004337,0.159939,0.004236,6706,8160
5,0.0700,REPORTABLE,0.992647,0.990686,0.994485,0.000960,0.035413,0.000946,8100,8160
6,0.0010,REPORTABLE,0.048526,0.041921,0.055386,0.003386,0.086734,0.003425,191,3936
