m,p,status,primary_mean,pointwise_low,pointwise_high,cluster_se,between_code_std,pooled_binomial_se,failures,trials
6,0.0015,REPORTABLE,0.059197,0.051829,0.066819,0.003841,0.098384,0.003762,233,3936
6,0.0025,REPORTABLE,0.098831,0.089431,0.108486,0.004893,0.125320,0.004757,389,3936
6,0.0040,REPORTABLE,0.145071,0.133638,0.156758,0.005864,0.150203,0.005613,571,3936
6,0.0060,REPORTABLE,0.211128,0.198171,0.224339,0.006661,0.170604,0.006505,831,3936
6,0.0100,REPORTABLE,0.315549,0.300559,0.330539,0.007613,0.194989,0.007408,1242,3936
6,0.0160,REPORTABLE,0.480691,0.464177,0.496951,0.008376,0.214527,0.007964,1892,3936
6,0.0250,REPORTABLE,0.684451,0.669461,0.699441,0.007630,0.195424,0.007408,2694,3936
6,0.0400,REPORTABLE,0.901931,0.892530,0.911077,0.004722,0.120936,0.004741,3550,3936
6,0.0700,REPORTABLE,0.998984,0.997967,0.999746,0.000507,0.012985,0.000508,3932,3936
7,0.0010,REPORTABLE,0.055871,0.045928,0.066288,0.005160,0.096817,0.004998,118,2112
7,0.0015,REPORTABLE,0.077178,0.066761,0.088542,0.005560,0.104322,0.005807,163,2112
7,0.0025,REPORTABLE,0.127841,0.114583,0.141572,0.007047,0.132218,0.007266,270,2112
7,0.0040,REPORTABLE,0.181818,0.165720,0.197917,0.008034,0.150732,0.008393,384,2112
7,0.0060,REPORTABLE,0.259470,0.241004,0.278409,0.009541,0.178999,0.009538,548,2112
7,0.0100,REPORTABLE,0.404356,0.384470,0.424716,0.010346,0.194104,0.010679,854,2112
7,0.0160,REPORTABLE,0.551136,0.529356,0.572443,0.010945,0.205354,0.010823,1164,2112
7,0.0250,REPORTABLE,0.772727,0.754261,0.790720,0.009357,0.175559,0.009119,1632,2112
7,0.0400,REPORTABLE,0.956913,0.947917,0.965436,0.004485,0.084148,0.004418,2021,2112
7,0.0700,REPORTABLE,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2112,2112
8,0.0010,REPORTABLE,0.080917,0.076494,0.085341,0.002255,0.111607,0.002250,1189,14694
8,0.0015,REPORTABLE,0.106710,0.101674,0.111746,0.002583,0.127831,0.002547,1568,14694
8,0.0025,REPORTABLE,0.154961,0.149040,0.160882,0.003041,0.150492,0.002985,2277,14694
8,0.0040,REPORTABLE,0.227236,0.220362,0.234109,0.003522,0.174274,0.003457,3339,14694
8,0.0060,REPORTABLE,0.310467,0.303049,0.317953,0.003803,0.188214,0.003817,4562,14694
8,0.0100,REPORTABLE,0.473186,0.464952,0.481421,0.004191,0.207395,0.004119,6953,14694
8,0.0160,REPORTABLE,0.657071,0.649177,0.664897,0.004034,0.199653,0.003916,9655,14694
8,0.0250,REPORTABLE,0.842180,0.836124,0.848101,0.003034,0.150160,0.003008,12375,14694
8,0.0400,REPORTABLE,0.976249,0.973661,0.978699,0.001290,0.063848,0.001256,14345,14694
8,0.0700,REPORTABLE,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,14694,14694
