host	host_run_id	L	q	fixed_p	run_root	output_stem	seed_base	workers	completed_at
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0000	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0000	scan_result_L3_p0p0500_q0p0000_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T14:10:03+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0050	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0050	scan_result_L3_p0p0500_q0p0050_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T14:25:57+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0100	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0100	scan_result_L3_p0p0500_q0p0100_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T14:41:50+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0150	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0150	scan_result_L3_p0p0500_q0p0150_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T14:58:21+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0200	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0200	scan_result_L3_p0p0500_q0p0200_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T15:14:12+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0250	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0250	scan_result_L3_p0p0500_q0p0250_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T15:30:07+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0300	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0300	scan_result_L3_p0p0500_q0p0300_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T15:46:05+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0350	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0350	scan_result_L3_p0p0500_q0p0350_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T16:02:03+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0400	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0400	scan_result_L3_p0p0500_q0p0400_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T16:17:56+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0450	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0450	scan_result_L3_p0p0500_q0p0450_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T16:34:23+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0500	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0500	scan_result_L3_p0p0500_q0p0500_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T16:50:17+08:00
nd-3	3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3	3	0.0550	0.0500	/home/DATA1/users/yuany/.single_shot/runs/3d_toric_exp32_fixed_p050_q000_075_L34567_20260514_140000_nd3/L3/q_0p0550	scan_result_L3_p0p0500_q0p0550_exp32_fixed_p_q_scan_common_random	202605143	96	2026-05-14T17:06:05+08:00
