code_id,m,candidate_index,graph_seed,construction_attempts,classical_H_sha256,classical_rank,classical_distance,n,k,rank_H_X,rank_H_Z,section_fingerprint,logical_frame_fingerprint,code_npz_sha256
m04_c07,4,7,1728692820170631958,25,5c1543cac66bf0a6f37ea49d4346eb8e2889e81f2c5d2af86822346e97d11b64,12,2,400,16,192,192,c4eab3ea2a6c9e9fbbbc1487ff20d741d88fd48de863c7b8a10a8687ea8dd9cb,368e81825c617c8464ebffb2d94514df4c5798ad2f051ce526f83c5053156fe1,25908c8a357e0c92aa32887e5a4c46d2f4a06a2daa45850fb8ce76857e970897
m05_c00,5,0,6992168345964125817,7,024d609ded5ed65084a261d0cdec3b4fb1be40f56f522ed0024e29bec6d300b5,15,6,625,25,300,300,b6908226bc9c015439013d9952c3ae9e6b20c1e9d31c9ac2d6e6141e5ee3657a,cd40cbf3fa3a19e987abc96c940b4a85dc85386a67bf043f23fffe6415e17390,5dff5ad2674733edbf28168729ad18fcc0f979818b982b77132ba5ece9ee96d6
m05_c01,5,1,7614656592535934725,12,b1a478bf4afe4e723d46e480ba2e9cc006cc6c5d05493983a7b791980fc605c0,15,2,625,25,300,300,f66b7d4ed60b68ca0f16b266b10728ee3f03749d107fa4dcc13404b0a72e0943,4426d25d1273b42dee26eac5a54c7b94d61e22ac634d4323e628184c9242235f,cd16a6b49dffaef0d4e6ef42c284fa942501f010e923d163a6ff28997f94c388
m05_c02,5,3,998238802709106284,5,8950b4b4438b511d1319865805be8729d5bb0077a4f4e2fd45d90139a797323f,15,6,625,25,300,300,aebd8c01c54c3a18cae53089a2e5d59ef836666a0c091dcb5b27a2d152a29894,6314b1e9afe8b33c9fc932ed9fe733e3253f5a53618257c8d05a6f5ad8c8c000,068d2f5b72c8c8f9ba142f572c7b85681e43431ff195de714d7aee7c21bd0848
m05_c03,5,4,9216568195248971594,21,c6448a69e2555f9ab7ff96de26bca81904e6898ae5890a612d4065d1626ea0fc,15,4,625,25,300,300,601eea46ffce0e616512c1e4765067f004a3f926d0b6b6934a07c5847b5f0208,832ac9b050d13b7ca9b28850c8038467e11c3e4eaff56b4dd7f39bd2c5ca59cd,723a6bca4b993335e0b0d314407d2fb2a3d5c80873a5fd273080a8b56228226e
m05_c04,5,5,532290434930249977,22,99407cdb08c7da9e5ba25fe17cb307a0b589b548aa7475f19a5dddff8395de72,15,6,625,25,300,300,8f7e8b61511dd095639fe2ea950494974e4177ca9d3cadb15fca6c751327997f,09a827a413de4b53abaf14a743b7941b4988e877d6de182226e6981629b1041a,b8f1f4d5822440289f6a2f46728c69e4c6f9ab7cb5c5a318d20e3e930a8ca4bd
m05_c05,5,6,6205663089771198537,42,70d24f33d30b66c15a8f63bd07d38bef791d755494ac7f16af1b4a442b030a50,15,6,625,25,300,300,b72ee53bfe653bbbe8c9ea603c84a5b70e91f89254559478efc7d17a31180580,3ae41092d68a17e89ff90faac776cfcafcbbe176e7602d1ac726fa657505bffe,a748450520e325989ea546659889db809d8d6e416b9c9578753087826c75a88a
m05_c06,5,7,8818374288620579089,7,83979e44e1e4854ec38dd8956fdb49ff60f5da138dc969bc1b6df2f5303cc830,15,2,625,25,300,300,b870bceb884f6d7bae5bcfd70defde540d1b3655e7240e63702fde457d42f3cf,f9311aafb339598c74ba7b2f7475cd9a9f44c4d3a88f051106aacea6e7efe20f,3d10f3a7ef1d99e57cde4f3a089cfa317620647734da6c550efc5c1dbe8a011d
m05_c07,5,8,6703826000772565633,14,0e34a904530b5037ef579ef4326154af173b0c0a99387dd4c75c7e08c101a001,15,6,625,25,300,300,d030d4ece5e45bc2a1d025073308923d01eed2bf8ba9dd1d0eadb366ce07d774,bda042d2131ef3389fa105c0bcb9faf0206a0ad6711c4c646d4979b2ecd187f1,a305d885b6a5227c3a69463d659810d06d545e41717407ac370a9ff2dd202758
m06_c00,6,0,1957011217083326110,33,119afbe41c5bdde0fec92d8a40f19a0b89282584b313cb186a3ec4536ac263b2,18,2,900,36,432,432,910fcba5d271c53df7dd716740ab85c42f59dae29ddd04dd35bd23fc75bb15a6,4243e953937b745310eb8b7e4fcaba3f8f698316744686909893126a2ae52795,4a361efaac5b41f9becf9a25379f8fef5fcedab94da8866c18a0577dafc7a143
m06_c01,6,2,2503247480903115156,7,fdb84c82211fbd0c340603f27ae21b880032770e4c8659ad04cccc4b4db7c050,18,6,900,36,432,432,2b50ffdd5cde77976dda9a9b38ab6fb6c5fb37809506d34cf2b7380b3aa5d928,dc5194b3fc499f13da7f320569ced65f9326bb328a3f02ea2a546fb0577c3b8f,26ba2cb2b5ab178131a4f5edde7d1287a06831eca408b3649b30e2e8221c6489
m06_c02,6,3,2830601025004152776,33,52a2cbdf4c2f5f7958c6809eb7ceca6fb3c9be7e8eb09490c6daafd4932b95f2,18,8,900,36,432,432,e2b31606151b6bacfd748b806ed2f050145cef8b45fcdfdcbe3850cbb1071d7c,ee5a55ba737407553c342ad21c8ba0b420f8028e3b1d5e40e394a291aee30aa0,741164b3897d57536b119190b5ad181d5bb8571183b69af66279b31d9bda134c
m06_c03,6,4,9043597234681182080,21,7ccc863a28565da0dfb4e6f0641f021b8c76becfc3a6b2890193caddc6beff2c,18,4,900,36,432,432,8c1e33c9e676e9fccce4cb0569d984056b15d4c222c3c654259a01e3b01ada0c,86446f045d77fff1462524229426e7cd172a1334bfe01dcf79b58a3cd76856c3,14bea7499dbcf3823391df0828cbe29322ae9298b3afe8ecab1121a052efc1e8
m06_c04,6,5,2686636929019202356,85,f88f79c9592ac963e1b0197749fecf4280d765c49a69f34f83c9117a575c3566,18,6,900,36,432,432,c24754ff5f30502175a500cfe225b6992a6014ac72d15fb811cedb2774507e4e,d48ac115b84527844850123e2da84c0fc4b3f4634268c7233b7454b6a8dbe60c,f5866aa4295c9b46de9a110da6a839cd78b0009441907705eaea9c392ab56356
m06_c05,6,6,3117548124889844754,5,f9b7cfa33c2f0b550a3c946ee56245eb04ffd18f2b74aa1558154091af94142b,18,8,900,36,432,432,b3b3cbee56f8ced2e4cb6baa81850a88b9980a5a04da7b0b4770480ac6d6f901,fb986412f283ca038b7de41dcd08d8904e5735ac437648bde7e9ec9a5c0cce19,b6e420a802b57f0626c223f1af4eaf26ed193ed120edaf8502b954c39705d30d
m06_c06,6,7,3172405307525261715,2,0fd98064141b96f7aca79ad3c01cc733faa0d04647f5eb830d6a29441c0cbe74,18,2,900,36,432,432,81062772948bb77de9be51ef645d718dbc467c8b76a3b34cd22de9b2f1c1ca5c,ba5c61c8dd4df108f2cee2672acee70985394684214763f5fdac24b89788bc16,a392620a4e08ea1e69f0531aa4f8bf5158b5d0468a1d74bc0edb558f2879c473
