run,canonical_source,input_sha256,source_git_sha,lattice_size,p,num_disorder,q_top_mean,q_top_std,q_top_sem,q_top_ci95_low,q_top_ci95_high,four_start_spread_mean,four_start_spread_std,four_start_spread_sem,four_start_spread_ci95_low,four_start_spread_ci95_high
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,3,0.115,512,0.46875146280924473,0.26919236454728523,0.01189673415093916,0.44543429233975629,0.49206863327873318,0.055849121093750009,0.03077046335846639,0.0013598752063139856,0.053183814665905625,0.058514427521594393
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,3,0.1175,512,0.46642890421549477,0.26804238527829211,0.011845911767231097,0.44321134378768257,0.48964646464330697,0.058746679687500011,0.031388437874864478,0.0013871860795105836,0.056027844931803954,0.061465514443196069
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,3,0.12,512,0.42844945068359375,0.27053918045558073,0.011956255567299514,0.40501562038173017,0.45188328098545733,0.055309895833333331,0.030841218923405932,0.0013630021900499503,0.052638460629986207,0.057981331036680454
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,3,0.1225,512,0.43220544026692709,0.26842332209481734,0.011862746955116635,0.40895488347718628,0.45545599705666789,0.05547154947916666,0.030703855751690139,0.0013569315381621047,0.052812012534882394,0.058131086423450926
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,3,0.125,512,0.41188372192382816,0.27346044760175181,0.012085358555344204,0.38819685441510049,0.43557058943255583,0.055819270833333323,0.032331660264143011,0.0014288710137371978,0.053018735107855181,0.058619806558811466
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.09,512,0.66868733927408852,0.29037027329675352,0.012832674331445342,0.64353575975912403,0.69383891878905302,0.057257031250000014,0.038686139045505767,0.0017097019535626749,0.053906076996719399,0.060607985503280629
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.0925,512,0.62387388712565106,0.30742501741822914,0.013586394657676394,0.59724504291685798,0.65050273133444414,0.056168522135416676,0.038054884208743089,0.0016818041675794439,0.052872246537911602,0.059464797732921751
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.095,512,0.64971039225260419,0.30296102950541709,0.013389112399908632,0.62346821416382459,0.67595257034138378,0.058258300781250008,0.040753683689808966,0.0018010753809622197,0.054728257901122297,0.061788343661377719
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.0975,512,0.5979845377604166,0.30623811966738929,0.013533940692164273,0.57145850143487353,0.62451057408595967,0.060232942708333341,0.039839322599668422,0.001760665948006501,0.05678210086143453,0.063683784555232159
q0_threshold_deep_nd3_20260420_221142,data/2d_toric_code/without_measurement_noise/q0_threshold_deep_nd3_20260420_221142/scan_result_multi_L_q0_geometric_multistart_threshold_deep.npz,f3821be7f779119603f1464b9f201ece184106d515f9f19baf5fc2db9a5f4f61,a15c3326fcc07844e06cc02ff176cf39ab7c0bbb,5,0.1,512,0.56537830200195316,0.31083097234401136,0.013736918021703664,0.53845443742083476,0.59230216658307155,0.059192903645833336,0.037811834924972809,0.0016710628052846626,0.055917680731570926,0.062468126560095746
