m,classical_distance,codes,ensemble_fraction,p,failures,trials,rate
3,2,457,0.228500,0.02,450,1828,0.246171
3,2,457,0.228500,0.03,617,1828,0.337527
3,2,457,0.228500,0.04,802,1828,0.438731
3,2,457,0.228500,0.05,1025,1828,0.560722
3,2,457,0.228500,0.06,1189,1828,0.650438
3,2,457,0.228500,0.07,1381,1828,0.755470
3,2,457,0.228500,0.08,1485,1828,0.812363
3,2,457,0.228500,0.09,1606,1828,0.878556
3,2,457,0.228500,0.10,1667,1828,0.911926
3,4,1192,0.596000,0.02,174,4768,0.036493
3,4,1192,0.596000,0.03,433,4768,0.090814
3,4,1192,0.596000,0.04,847,4768,0.177643
3,4,1192,0.596000,0.05,1350,4768,0.283138
3,4,1192,0.596000,0.06,1947,4768,0.408347
3,4,1192,0.596000,0.07,2632,4768,0.552013
3,4,1192,0.596000,0.08,3265,4768,0.684773
3,4,1192,0.596000,0.09,3673,4768,0.770344
3,4,1192,0.596000,0.10,4129,4768,0.865982
3,6,351,0.175500,0.02,26,1404,0.018519
3,6,351,0.175500,0.03,86,1404,0.061254
3,6,351,0.175500,0.04,180,1404,0.128205
3,6,351,0.175500,0.05,306,1404,0.217949
3,6,351,0.175500,0.06,504,1404,0.358974
3,6,351,0.175500,0.07,703,1404,0.500712
3,6,351,0.175500,0.08,905,1404,0.644587
3,6,351,0.175500,0.09,1075,1404,0.765670
3,6,351,0.175500,0.10,1206,1404,0.858974
4,2,385,0.192500,0.02,468,1540,0.303896
4,2,385,0.192500,0.03,701,1540,0.455195
4,2,385,0.192500,0.04,851,1540,0.552597
4,2,385,0.192500,0.05,1048,1540,0.680519
4,2,385,0.192500,0.06,1214,1540,0.788312
4,2,385,0.192500,0.07,1343,1540,0.872078
4,2,385,0.192500,0.08,1428,1540,0.927273
4,2,385,0.192500,0.09,1472,1540,0.955844
4,2,385,0.192500,0.10,1507,1540,0.978571
4,4,799,0.399500,0.02,111,3196,0.034731
4,4,799,0.399500,0.03,336,3196,0.105131
4,4,799,0.399500,0.04,617,3196,0.193054
4,4,799,0.399500,0.05,1038,3196,0.324781
4,4,799,0.399500,0.06,1564,3196,0.489362
4,4,799,0.399500,0.07,2037,3196,0.637359
4,4,799,0.399500,0.08,2529,3196,0.791302
4,4,799,0.399500,0.09,2864,3196,0.896120
4,4,799,0.399500,0.10,3059,3196,0.957134
4,6,803,0.401500,0.02,54,3212,0.016812
4,6,803,0.401500,0.03,171,3212,0.053238
4,6,803,0.401500,0.04,397,3212,0.123599
4,6,803,0.401500,0.05,724,3212,0.225405
4,6,803,0.401500,0.06,1297,3212,0.403798
4,6,803,0.401500,0.07,1850,3212,0.575965
4,6,803,0.401500,0.08,2375,3212,0.739415
4,6,803,0.401500,0.09,2795,3212,0.870174
4,6,803,0.401500,0.10,3033,3212,0.944271
4,8,13,0.006500,0.02,0,52,0.000000
4,8,13,0.006500,0.03,3,52,0.057692
4,8,13,0.006500,0.04,2,52,0.038462
4,8,13,0.006500,0.05,14,52,0.269231
4,8,13,0.006500,0.06,21,52,0.403846
4,8,13,0.006500,0.07,28,52,0.538462
4,8,13,0.006500,0.08,36,52,0.692308
4,8,13,0.006500,0.09,42,52,0.807692
4,8,13,0.006500,0.10,50,52,0.961538
5,2,307,0.153500,0.02,454,1228,0.369707
5,2,307,0.153500,0.03,616,1228,0.501629
5,2,307,0.153500,0.04,770,1228,0.627036
5,2,307,0.153500,0.05,914,1228,0.744300
5,2,307,0.153500,0.06,1045,1228,0.850977
5,2,307,0.153500,0.07,1125,1228,0.916124
5,2,307,0.153500,0.08,1192,1228,0.970684
5,2,307,0.153500,0.09,1216,1228,0.990228
5,2,307,0.153500,0.10,1224,1228,0.996743
5,4,541,0.270500,0.02,81,2164,0.037431
5,4,541,0.270500,0.03,235,2164,0.108595
5,4,541,0.270500,0.04,455,2164,0.210259
5,4,541,0.270500,0.05,747,2164,0.345194
5,4,541,0.270500,0.06,1181,2164,0.545749
5,4,541,0.270500,0.07,1563,2164,0.722274
5,4,541,0.270500,0.08,1889,2164,0.872921
5,4,541,0.270500,0.09,2071,2164,0.957024
5,4,541,0.270500,0.10,2133,2164,0.985675
5,6,1013,0.506500,0.02,61,4052,0.015054
5,6,1013,0.506500,0.03,211,4052,0.052073
5,6,1013,0.506500,0.04,496,4052,0.122409
5,6,1013,0.506500,0.05,1028,4052,0.253702
5,6,1013,0.506500,0.06,1706,4052,0.421027
5,6,1013,0.506500,0.07,2572,4052,0.634748
5,6,1013,0.506500,0.08,3280,4052,0.809477
5,6,1013,0.506500,0.09,3784,4052,0.933860
5,6,1013,0.506500,0.10,3987,4052,0.983959
5,8,139,0.069500,0.02,3,556,0.005396
5,8,139,0.069500,0.03,16,556,0.028777
5,8,139,0.069500,0.04,68,556,0.122302
5,8,139,0.069500,0.05,106,556,0.190647
5,8,139,0.069500,0.06,217,556,0.390288
5,8,139,0.069500,0.07,362,556,0.651079
5,8,139,0.069500,0.08,445,556,0.800360
5,8,139,0.069500,0.09,521,556,0.937050
5,8,139,0.069500,0.10,546,556,0.982014
6,2,256,0.128000,0.02,443,1024,0.432617
6,2,256,0.128000,0.03,588,1024,0.574219
6,2,256,0.128000,0.04,722,1024,0.705078
6,2,256,0.128000,0.05,803,1024,0.784180
6,2,256,0.128000,0.06,894,1024,0.873047
6,2,256,0.128000,0.07,975,1024,0.952148
6,2,256,0.128000,0.08,1001,1024,0.977539
6,2,256,0.128000,0.09,1016,1024,0.992188
6,2,256,0.128000,0.10,1023,1024,0.999023
6,4,442,0.221000,0.02,80,1768,0.045249
6,4,442,0.221000,0.03,202,1768,0.114253
6,4,442,0.221000,0.04,373,1768,0.210973
6,4,442,0.221000,0.05,626,1768,0.354072
6,4,442,0.221000,0.06,972,1768,0.549774
6,4,442,0.221000,0.07,1326,1768,0.750000
6,4,442,0.221000,0.08,1601,1768,0.905543
6,4,442,0.221000,0.09,1728,1768,0.977376
6,4,442,0.221000,0.10,1761,1768,0.996041
6,6,903,0.451500,0.02,47,3612,0.013012
6,6,903,0.451500,0.03,162,3612,0.044850
6,6,903,0.451500,0.04,402,3612,0.111296
6,6,903,0.451500,0.05,890,3612,0.246401
6,6,903,0.451500,0.06,1541,3612,0.426633
6,6,903,0.451500,0.07,2434,3612,0.673865
6,6,903,0.451500,0.08,3092,3612,0.856035
6,6,903,0.451500,0.09,3489,3612,0.965947
6,6,903,0.451500,0.10,3602,3612,0.997231
6,8,399,0.199500,0.02,19,1596,0.011905
6,8,399,0.199500,0.03,56,1596,0.035088
6,8,399,0.199500,0.04,150,1596,0.093985
6,8,399,0.199500,0.05,340,1596,0.213033
6,8,399,0.199500,0.06,619,1596,0.387845
6,8,399,0.199500,0.07,993,1596,0.622180
6,8,399,0.199500,0.08,1322,1596,0.828321
6,8,399,0.199500,0.09,1538,1596,0.963659
6,8,399,0.199500,0.10,1581,1596,0.990602
7,2,234,0.117000,0.02,422,936,0.450855
7,2,234,0.117000,0.03,566,936,0.604701
7,2,234,0.117000,0.04,691,936,0.738248
7,2,234,0.117000,0.05,756,936,0.807692
7,2,234,0.117000,0.06,853,936,0.911325
7,2,234,0.117000,0.07,893,936,0.954060
7,2,234,0.117000,0.08,924,936,0.987179
7,2,234,0.117000,0.09,934,936,0.997863
7,2,234,0.117000,0.10,936,936,1.000000
7,4,337,0.168500,0.02,58,1348,0.043027
7,4,337,0.168500,0.03,155,1348,0.114985
7,4,337,0.168500,0.04,311,1348,0.230712
7,4,337,0.168500,0.05,521,1348,0.386499
7,4,337,0.168500,0.06,777,1348,0.576409
7,4,337,0.168500,0.07,1045,1348,0.775223
7,4,337,0.168500,0.08,1272,1348,0.943620
7,4,337,0.168500,0.09,1339,1348,0.993323
7,4,337,0.168500,0.10,1345,1348,0.997774
7,6,752,0.376000,0.02,43,3008,0.014295
7,6,752,0.376000,0.03,143,3008,0.047540
7,6,752,0.376000,0.04,327,3008,0.108710
7,6,752,0.376000,0.05,674,3008,0.224069
7,6,752,0.376000,0.06,1376,3008,0.457447
7,6,752,0.376000,0.07,2105,3008,0.699801
7,6,752,0.376000,0.08,2674,3008,0.888963
7,6,752,0.376000,0.09,2951,3008,0.981051
7,6,752,0.376000,0.10,2999,3008,0.997008
7,8,656,0.328000,0.02,25,2624,0.009527
7,8,656,0.328000,0.03,81,2624,0.030869
7,8,656,0.328000,0.04,233,2624,0.088796
7,8,656,0.328000,0.05,535,2624,0.203887
7,8,656,0.328000,0.06,1071,2624,0.408155
7,8,656,0.328000,0.07,1699,2624,0.647485
7,8,656,0.328000,0.08,2302,2624,0.877287
7,8,656,0.328000,0.09,2551,2624,0.972180
7,8,656,0.328000,0.10,2614,2624,0.996189
7,10,21,0.010500,0.02,1,84,0.011905
7,10,21,0.010500,0.03,2,84,0.023810
7,10,21,0.010500,0.04,7,84,0.083333
7,10,21,0.010500,0.05,8,84,0.095238
7,10,21,0.010500,0.06,28,84,0.333333
7,10,21,0.010500,0.07,53,84,0.630952
7,10,21,0.010500,0.08,73,84,0.869048
7,10,21,0.010500,0.09,83,84,0.988095
7,10,21,0.010500,0.10,84,84,1.000000
8,2,208,0.104000,0.02,423,832,0.508413
8,2,208,0.104000,0.03,547,832,0.657452
8,2,208,0.104000,0.04,643,832,0.772837
8,2,208,0.104000,0.05,712,832,0.855769
8,2,208,0.104000,0.06,756,832,0.908654
8,2,208,0.104000,0.07,802,832,0.963942
