m,classical_distance,codes,ensemble_fraction,p,failures,trials,rate
8,2,208,0.104000,0.08,829,832,0.996394
8,2,208,0.104000,0.09,831,832,0.998798
8,2,208,0.104000,0.10,832,832,1.000000
8,4,243,0.121500,0.02,63,972,0.064815
8,4,243,0.121500,0.03,131,972,0.134774
8,4,243,0.121500,0.04,225,972,0.231481
8,4,243,0.121500,0.05,387,972,0.398148
8,4,243,0.121500,0.06,586,972,0.602881
8,4,243,0.121500,0.07,780,972,0.802469
8,4,243,0.121500,0.08,921,972,0.947531
8,4,243,0.121500,0.09,967,972,0.994856
8,4,243,0.121500,0.10,972,972,1.000000
8,6,626,0.313000,0.02,48,2504,0.019169
8,6,626,0.313000,0.03,115,2504,0.045927
8,6,626,0.313000,0.04,261,2504,0.104233
8,6,626,0.313000,0.05,579,2504,0.231230
8,6,626,0.313000,0.06,1174,2504,0.468850
8,6,626,0.313000,0.07,1830,2504,0.730831
8,6,626,0.313000,0.08,2269,2504,0.906150
8,6,626,0.313000,0.09,2478,2504,0.989617
8,6,626,0.313000,0.10,2504,2504,1.000000
8,8,790,0.395000,0.02,37,3160,0.011709
8,8,790,0.395000,0.03,123,3160,0.038924
8,8,790,0.395000,0.04,243,3160,0.076899
8,8,790,0.395000,0.05,603,3160,0.190823
8,8,790,0.395000,0.06,1241,3160,0.392722
8,8,790,0.395000,0.07,2093,3160,0.662342
8,8,790,0.395000,0.08,2837,3160,0.897785
8,8,790,0.395000,0.09,3119,3160,0.987025
8,8,790,0.395000,0.10,3156,3160,0.998734
8,10,133,0.066500,0.02,2,532,0.003759
8,10,133,0.066500,0.03,15,532,0.028195
8,10,133,0.066500,0.04,32,532,0.060150
8,10,133,0.066500,0.05,74,532,0.139098
8,10,133,0.066500,0.06,194,532,0.364662
8,10,133,0.066500,0.07,349,532,0.656015
8,10,133,0.066500,0.08,466,532,0.875940
8,10,133,0.066500,0.09,527,532,0.990602
8,10,133,0.066500,0.10,531,532,0.998120
