p,delta38,simultaneous_low,simultaneous_high,certification,delta34,delta45,delta56,delta67,delta78
0.02,-0.009625,-0.030750,0.011500,,-0.002125,-0.004250,-0.001250,-0.005000,0.003000
0.03,-0.025625,-0.046750,-0.004500,certified_negative,0.009375,-0.016625,-0.008750,-0.007625,-0.002000
0.04,-0.053125,-0.074250,-0.032000,certified_negative,0.004750,-0.009750,-0.017750,-0.009750,-0.020625
0.05,-0.040750,-0.061875,-0.019625,certified_negative,0.017875,-0.003625,-0.017000,-0.020625,-0.017375
0.06,0.038875,0.017750,0.060000,certified_positive,0.057000,0.006625,-0.015375,0.009875,-0.019250
0.07,0.142250,0.121125,0.163375,certified_positive,0.067750,0.045500,0.013250,0.008375,0.007375
0.08,0.208375,0.187250,0.229500,certified_positive,0.089125,0.054750,0.026250,0.028625,0.009625
0.09,0.196000,0.174875,0.217125,certified_positive,0.102375,0.052375,0.022375,0.010875,0.008000
0.10,0.124125,0.103000,0.145250,certified_positive,0.080875,0.030125,0.009625,0.001375,0.002125
