m,classical_distance,codes,fraction
3,2,457,0.228500
3,4,1192,0.596000
3,6,351,0.175500
4,2,385,0.192500
4,4,799,0.399500
4,6,803,0.401500
4,8,13,0.006500
5,2,307,0.153500
5,4,541,0.270500
5,6,1013,0.506500
5,8,139,0.069500
6,2,256,0.128000
6,4,442,0.221000
6,6,903,0.451500
6,8,399,0.199500
7,2,234,0.117000
7,4,337,0.168500
7,6,752,0.376000
7,8,656,0.328000
7,10,21,0.010500
8,2,208,0.104000
8,4,243,0.121500
8,6,626,0.313000
8,8,790,0.395000
8,10,133,0.066500
