track,arm,point,p,q,mean_q_top,mean_q_top_spread,passed,decision
q0,A,0,0.1,0.0,0.6669832646122684,0.16483275462962965,False,STOP
q0,A,1,0.11,0.0,0.4919426432291667,0.15777847222222224,False,STOP
q0,B,0,0.1,0.0,0.6631540644892939,0.11074508101851852,False,STOP
q0,B,1,0.11,0.0,0.4947029703776042,0.11766890914351853,False,STOP
q_positive,A,0,0.0875,0.001,0.7344723741319444,0.18971296296296297,False,STOP_Q_POSITIVE
q_positive,B,0,0.0875,0.001,0.7217584327980324,0.16336736111111116,False,STOP_Q_POSITIVE
