m,p,status,primary_mean,pointwise_low,pointwise_high,cluster_se,between_code_std,pooled_binomial_se,failures,trials
3,0.0050,REPORTABLE,0.026295,0.025634,0.026960,0.000342,0.094429,0.000335,6008,228486
3,0.0100,REPORTABLE,0.057614,0.056629,0.058625,0.000505,0.139247,0.000487,13164,228486
3,0.0150,REPORTABLE,0.097822,0.096553,0.099087,0.000645,0.178008,0.000621,22351,228486
3,0.0200,REPORTABLE,0.141637,0.140179,0.143155,0.000764,0.210793,0.000729,32362,228486
3,0.0250,REPORTABLE,0.190029,0.188379,0.191710,0.000858,0.236690,0.000821,43419,228486
3,0.0300,REPORTABLE,0.241140,0.239314,0.242991,0.000934,0.257690,0.000895,55097,228486
3,0.0350,REPORTABLE,0.292758,0.290788,0.294736,0.000996,0.274892,0.000952,66891,228486
3,0.0450,REPORTABLE,0.409128,0.407040,0.411181,0.001067,0.294597,0.001029,93480,228486
3,0.0550,REPORTABLE,0.528671,0.526544,0.530790,0.001070,0.295420,0.001044,120794,228486
3,0.0700,REPORTABLE,0.706442,0.704529,0.708302,0.000966,0.266515,0.000953,161412,228486
4,0.0050,REPORTABLE,0.031629,0.029844,0.033415,0.000910,0.104014,0.000884,1240,39204
4,0.0100,REPORTABLE,0.073972,0.071243,0.076727,0.001394,0.159409,0.001322,2900,39204
4,0.0150,REPORTABLE,0.115371,0.112080,0.118712,0.001692,0.193461,0.001613,4523,39204
4,0.0200,REPORTABLE,0.165697,0.161845,0.169651,0.001995,0.228064,0.001878,6496,39204
4,0.0250,REPORTABLE,0.220717,0.216304,0.225079,0.002226,0.254437,0.002095,8653,39204
4,0.0300,REPORTABLE,0.280099,0.275355,0.284819,0.002405,0.274938,0.002268,10981,39204
4,0.0350,REPORTABLE,0.341929,0.336930,0.346827,0.002526,0.288705,0.002396,13405,39204
4,0.0450,REPORTABLE,0.481584,0.476354,0.486736,0.002642,0.302074,0.002524,18880,39204
4,0.0550,REPORTABLE,0.618355,0.613407,0.623431,0.002534,0.289664,0.002453,24242,39204
4,0.0700,REPORTABLE,0.812902,0.808948,0.816804,0.002005,0.229198,0.001970,31869,39204
5,0.0050,REPORTABLE,0.039735,0.036643,0.042955,0.001624,0.116806,0.001568,617,15528
5,0.0100,REPORTABLE,0.089516,0.084879,0.094281,0.002400,0.172676,0.002291,1390,15528
5,0.0150,REPORTABLE,0.135497,0.129637,0.141486,0.002970,0.213688,0.002747,2104,15528
5,0.0200,REPORTABLE,0.196291,0.189657,0.202924,0.003435,0.247157,0.003187,3048,15528
5,0.0250,REPORTABLE,0.252318,0.244912,0.259789,0.003766,0.270910,0.003486,3918,15528
5,0.0300,REPORTABLE,0.308926,0.301262,0.316591,0.003945,0.283799,0.003708,4797,15528
5,0.0350,REPORTABLE,0.372231,0.364052,0.380281,0.004156,0.298988,0.003879,5780,15528
5,0.0450,REPORTABLE,0.520737,0.512365,0.528980,0.004246,0.305469,0.004009,8086,15528
5,0.0550,REPORTABLE,0.674845,0.667375,0.682380,0.003900,0.280552,0.003759,10479,15528
5,0.0700,REPORTABLE,0.870363,0.864954,0.875644,0.002754,0.198119,0.002696,13515,15528
6,0.0050,REPORTABLE,0.048972,0.044102,0.054113,0.002527,0.125443,0.002510,362,7392
6,0.0100,REPORTABLE,0.109713,0.102408,0.117154,0.003765,0.186868,0.003635,811,7392
6,0.0150,REPORTABLE,0.155438,0.146510,0.164502,0.004559,0.226299,0.004214,1149,7392
6,0.0200,REPORTABLE,0.221726,0.211715,0.232008,0.005207,0.258458,0.004832,1639,7392
6,0.0250,REPORTABLE,0.275298,0.264069,0.286526,0.005638,0.279872,0.005195,2035,7392
6,0.0300,REPORTABLE,0.345779,0.333874,0.357413,0.005958,0.295724,0.005532,2556,7392
6,0.0350,REPORTABLE,0.414232,0.402056,0.426407,0.006205,0.308001,0.005729,3062,7392
6,0.0450,REPORTABLE,0.564394,0.552219,0.576299,0.006102,0.302919,0.005767,4172,7392
6,0.0550,REPORTABLE,0.718209,0.707657,0.728626,0.005344,0.265290,0.005232,5309,7392
6,0.0700,REPORTABLE,0.908279,0.901245,0.915043,0.003490,0.173261,0.003357,6714,7392
7,0.0050,REPORTABLE,0.053963,0.046374,0.061832,0.003905,0.134495,0.003788,192,3558
7,0.0100,REPORTABLE,0.118325,0.107364,0.129286,0.005564,0.191609,0.005415,421,3558
7,0.0150,REPORTABLE,0.177066,0.163856,0.189994,0.006733,0.231861,0.006400,630,3558
7,0.0200,REPORTABLE,0.232153,0.217819,0.246768,0.007454,0.256692,0.007078,826,3558
7,0.0250,REPORTABLE,0.294547,0.278527,0.310849,0.008350,0.287567,0.007642,1048,3558
7,0.0300,REPORTABLE,0.354413,0.337549,0.370995,0.008613,0.296606,0.008019,1261,3558
7,0.0350,REPORTABLE,0.441259,0.424115,0.458404,0.008710,0.299972,0.008324,1570,3558
7,0.0450,REPORTABLE,0.583755,0.566892,0.600618,0.008683,0.299025,0.008264,2077,3558
7,0.0550,REPORTABLE,0.743114,0.727937,0.758010,0.007678,0.264410,0.007325,2644,3558
7,0.0700,REPORTABLE,0.932265,0.923834,0.940416,0.004264,0.146862,0.004213,3317,3558
8,0.0050,REPORTABLE,0.067801,0.064933,0.070637,0.001467,0.149195,0.001427,2104,31032
8,0.0100,REPORTABLE,0.139856,0.135828,0.143916,0.002052,0.208716,0.001969,4340,31032
8,0.0150,REPORTABLE,0.196056,0.191319,0.200793,0.002408,0.244957,0.002254,6084,31032
8,0.0200,REPORTABLE,0.260795,0.255639,0.266080,0.002676,0.272201,0.002492,8093,31032
8,0.0250,REPORTABLE,0.319541,0.313998,0.325052,0.002851,0.289994,0.002647,9916,31032
8,0.0300,REPORTABLE,0.380543,0.374710,0.386246,0.002968,0.301851,0.002756,11809,31032
8,0.0350,REPORTABLE,0.451212,0.445250,0.457044,0.003024,0.307543,0.002825,14002,31032
8,0.0450,REPORTABLE,0.612722,0.607018,0.618426,0.002911,0.296021,0.002765,19014,31032
8,0.0550,REPORTABLE,0.773137,0.768271,0.778003,0.002471,0.251301,0.002377,23992,31032
8,0.0700,REPORTABLE,0.948215,0.945701,0.950696,0.001268,0.129012,0.001258,29425,31032
