p,delta38,simultaneous_low,simultaneous_high,certification,delta34,delta45,delta56,delta67,delta78
0.0050,0.041506,0.033614,0.049398,certified_positive,0.005335,0.008105,0.009237,0.004991,0.013838
0.0100,0.082242,0.074350,0.090134,certified_positive,0.016358,0.015544,0.020197,0.008612,0.021531
0.0150,0.098233,0.090341,0.106125,certified_positive,0.017549,0.020126,0.019941,0.021627,0.018990
0.0200,0.119159,0.111267,0.127051,certified_positive,0.024061,0.030593,0.025436,0.010427,0.028642
0.0250,0.129512,0.121620,0.137404,certified_positive,0.030688,0.031601,0.022979,0.019250,0.024994
0.0300,0.139403,0.131511,0.147295,certified_positive,0.038959,0.028827,0.036853,0.008633,0.026130
0.0350,0.158454,0.150562,0.166346,certified_positive,0.049172,0.030301,0.042001,0.027028,0.009953
0.0450,0.203594,0.195702,0.211486,certified_positive,0.072456,0.039153,0.043657,0.019361,0.028967
0.0550,0.244466,0.236574,0.252358,certified_positive,0.089684,0.056490,0.043363,0.024905,0.030023
0.0700,0.241773,0.233881,0.249665,certified_positive,0.106460,0.057461,0.037916,0.023986,0.015949
