m,classical_distance,codes,ensemble_fraction,p,failures,trials,rate
7,6,460,0.387858,0.0550,993,1380,0.719565
7,6,460,0.387858,0.0700,1284,1380,0.930435
7,8,374,0.315346,0.0050,40,1122,0.035651
7,8,374,0.315346,0.0100,93,1122,0.082888
7,8,374,0.315346,0.0150,163,1122,0.145276
7,8,374,0.315346,0.0200,201,1122,0.179144
7,8,374,0.315346,0.0250,264,1122,0.235294
7,8,374,0.315346,0.0300,347,1122,0.309269
7,8,374,0.315346,0.0350,428,1122,0.381462
7,8,374,0.315346,0.0450,601,1122,0.535651
7,8,374,0.315346,0.0550,775,1122,0.690731
7,8,374,0.315346,0.0700,1027,1122,0.915330
7,10,25,0.021079,0.0050,2,75,0.026667
7,10,25,0.021079,0.0100,6,75,0.080000
7,10,25,0.021079,0.0150,14,75,0.186667
7,10,25,0.021079,0.0200,12,75,0.160000
7,10,25,0.021079,0.0250,19,75,0.253333
7,10,25,0.021079,0.0300,20,75,0.266667
7,10,25,0.021079,0.0350,28,75,0.373333
7,10,25,0.021079,0.0450,42,75,0.560000
7,10,25,0.021079,0.0550,52,75,0.693333
7,10,25,0.021079,0.0700,64,75,0.853333
8,2,1049,0.101411,0.0050,585,3147,0.185891
8,2,1049,0.101411,0.0100,1101,3147,0.349857
8,2,1049,0.101411,0.0150,1539,3147,0.489037
8,2,1049,0.101411,0.0200,1913,3147,0.607881
8,2,1049,0.101411,0.0250,2137,3147,0.679059
8,2,1049,0.101411,0.0300,2315,3147,0.735621
8,2,1049,0.101411,0.0350,2518,3147,0.800127
8,2,1049,0.101411,0.0450,2837,3147,0.901493
8,2,1049,0.101411,0.0550,3004,3147,0.954560
8,2,1049,0.101411,0.0700,3123,3147,0.992374
8,4,1316,0.127224,0.0050,230,3948,0.058257
8,4,1316,0.127224,0.0100,488,3948,0.123607
8,4,1316,0.127224,0.0150,688,3948,0.174265
8,4,1316,0.127224,0.0200,983,3948,0.248987
8,4,1316,0.127224,0.0250,1226,3948,0.310537
8,4,1316,0.127224,0.0300,1514,3948,0.383485
8,4,1316,0.127224,0.0350,1844,3948,0.467072
8,4,1316,0.127224,0.0450,2520,3948,0.638298
8,4,1316,0.127224,0.0550,3191,3948,0.808257
8,4,1316,0.127224,0.0700,3787,3948,0.959220
8,6,3078,0.297564,0.0050,510,9234,0.055231
8,6,3078,0.297564,0.0100,1115,9234,0.120749
8,6,3078,0.297564,0.0150,1519,9234,0.164501
8,6,3078,0.297564,0.0200,2054,9234,0.222439
8,6,3078,0.297564,0.0250,2665,9234,0.288607
8,6,3078,0.297564,0.0300,3175,9234,0.343838
8,6,3078,0.297564,0.0350,3790,9234,0.410440
8,6,3078,0.297564,0.0450,5418,9234,0.586745
8,6,3078,0.297564,0.0550,6907,9234,0.747997
8,6,3078,0.297564,0.0700,8722,9234,0.944553
8,8,4244,0.410286,0.0050,694,12732,0.054508
8,8,4244,0.410286,0.0100,1434,12732,0.112630
8,8,4244,0.410286,0.0150,2017,12732,0.158420
8,8,4244,0.410286,0.0200,2754,12732,0.216305
8,8,4244,0.410286,0.0250,3378,12732,0.265316
8,8,4244,0.410286,0.0300,4200,12732,0.329877
8,8,4244,0.410286,0.0350,5047,12732,0.396403
8,8,4244,0.410286,0.0450,7167,12732,0.562912
8,8,4244,0.410286,0.0550,9426,12732,0.740339
8,8,4244,0.410286,0.0700,11954,12732,0.938894
8,10,657,0.063515,0.0050,85,1971,0.043125
8,10,657,0.063515,0.0100,202,1971,0.102486
8,10,657,0.063515,0.0150,321,1971,0.162861
8,10,657,0.063515,0.0200,389,1971,0.197362
8,10,657,0.063515,0.0250,510,1971,0.258752
8,10,657,0.063515,0.0300,605,1971,0.306951
8,10,657,0.063515,0.0350,803,1971,0.407407
8,10,657,0.063515,0.0450,1072,1971,0.543886
8,10,657,0.063515,0.0550,1464,1971,0.742770
8,10,657,0.063515,0.0700,1839,1971,0.933029
