m,classical_distance,codes,ensemble_fraction,p,failures,trials,rate
3,2,17452,0.229143,0.0050,3671,52356,0.070116
3,2,17452,0.229143,0.0100,7076,52356,0.135152
3,2,17452,0.229143,0.0150,10858,52356,0.207388
3,2,17452,0.229143,0.0200,14386,52356,0.274773
3,2,17452,0.229143,0.0250,17765,52356,0.339312
3,2,17452,0.229143,0.0300,20956,52356,0.400260
3,2,17452,0.229143,0.0350,23948,52356,0.457407
3,2,17452,0.229143,0.0450,30048,52356,0.573917
3,2,17452,0.229143,0.0550,35052,52356,0.669493
3,2,17452,0.229143,0.0700,41936,52356,0.800978
3,4,44466,0.583834,0.0050,1750,133398,0.013119
3,4,44466,0.583834,0.0100,4765,133398,0.035720
3,4,44466,0.583834,0.0150,8840,133398,0.066268
3,4,44466,0.583834,0.0200,13865,133398,0.103937
3,4,44466,0.583834,0.0250,19835,133398,0.148690
3,4,44466,0.583834,0.0300,26376,133398,0.197724
3,4,44466,0.583834,0.0350,33256,133398,0.249299
3,4,44466,0.583834,0.0450,49106,133398,0.368116
3,4,44466,0.583834,0.0550,65938,133398,0.494295
3,4,44466,0.583834,0.0700,91171,133398,0.683451
3,6,14244,0.187022,0.0050,587,42732,0.013737
3,6,14244,0.187022,0.0100,1323,42732,0.030960
3,6,14244,0.187022,0.0150,2653,42732,0.062085
3,6,14244,0.187022,0.0200,4111,42732,0.096204
3,6,14244,0.187022,0.0250,5819,42732,0.136174
3,6,14244,0.187022,0.0300,7765,42732,0.181714
3,6,14244,0.187022,0.0350,9687,42732,0.226692
3,6,14244,0.187022,0.0450,14326,42732,0.335252
3,6,14244,0.187022,0.0550,19804,42732,0.463447
3,6,14244,0.187022,0.0700,28305,42732,0.662384
4,2,2409,0.184343,0.0050,663,7227,0.091739
4,2,2409,0.184343,0.0100,1355,7227,0.187491
4,2,2409,0.184343,0.0150,1930,7227,0.267054
4,2,2409,0.184343,0.0200,2574,7227,0.356164
4,2,2409,0.184343,0.0250,3112,7227,0.430607
4,2,2409,0.184343,0.0300,3597,7227,0.497717
4,2,2409,0.184343,0.0350,4164,7227,0.576173
4,2,2409,0.184343,0.0450,5019,7227,0.694479
4,2,2409,0.184343,0.0550,5722,7227,0.791753
4,2,2409,0.184343,0.0700,6565,7227,0.908399
4,4,5372,0.411081,0.0050,289,16116,0.017932
4,4,5372,0.411081,0.0100,846,16116,0.052494
4,4,5372,0.411081,0.0150,1348,16116,0.083644
4,4,5372,0.411081,0.0200,2115,16116,0.131236
4,4,5372,0.411081,0.0250,3040,16116,0.188632
4,4,5372,0.411081,0.0300,3950,16116,0.245098
4,4,5372,0.411081,0.0350,4914,16116,0.304914
4,4,5372,0.411081,0.0450,7319,16116,0.454145
4,4,5372,0.411081,0.0550,9615,16116,0.596612
4,4,5372,0.411081,0.0700,12974,16116,0.805038
4,6,5187,0.396924,0.0050,282,15561,0.018122
4,6,5187,0.396924,0.0100,691,15561,0.044406
4,6,5187,0.396924,0.0150,1225,15561,0.078722
4,6,5187,0.396924,0.0200,1774,15561,0.114003
4,6,5187,0.396924,0.0250,2457,15561,0.157895
4,6,5187,0.396924,0.0300,3353,15561,0.215475
4,6,5187,0.396924,0.0350,4244,15561,0.272733
4,6,5187,0.396924,0.0450,6435,15561,0.413534
4,6,5187,0.396924,0.0550,8732,15561,0.561146
4,6,5187,0.396924,0.0700,12103,15561,0.777778
4,8,100,0.007652,0.0050,6,300,0.020000
4,8,100,0.007652,0.0100,8,300,0.026667
4,8,100,0.007652,0.0150,20,300,0.066667
4,8,100,0.007652,0.0200,33,300,0.110000
4,8,100,0.007652,0.0250,44,300,0.146667
4,8,100,0.007652,0.0300,81,300,0.270000
4,8,100,0.007652,0.0350,83,300,0.276667
4,8,100,0.007652,0.0450,107,300,0.356667
4,8,100,0.007652,0.0550,173,300,0.576667
4,8,100,0.007652,0.0700,227,300,0.756667
5,2,815,0.157457,0.0050,278,2445,0.113701
5,2,815,0.157457,0.0100,562,2445,0.229857
5,2,815,0.157457,0.0150,842,2445,0.344376
5,2,815,0.157457,0.0200,1067,2445,0.436401
5,2,815,0.157457,0.0250,1254,2445,0.512883
5,2,815,0.157457,0.0300,1407,2445,0.575460
5,2,815,0.157457,0.0350,1545,2445,0.631902
5,2,815,0.157457,0.0450,1842,2445,0.753374
5,2,815,0.157457,0.0550,2094,2445,0.856442
5,2,815,0.157457,0.0700,2330,2445,0.952965
5,4,1518,0.293277,0.0050,132,4554,0.028986
5,4,1518,0.293277,0.0100,294,4554,0.064559
5,4,1518,0.293277,0.0150,465,4554,0.102108
5,4,1518,0.293277,0.0200,768,4554,0.168643
5,4,1518,0.293277,0.0250,994,4554,0.218270
5,4,1518,0.293277,0.0300,1264,4554,0.277558
5,4,1518,0.293277,0.0350,1582,4554,0.347387
5,4,1518,0.293277,0.0450,2316,4554,0.508564
5,4,1518,0.293277,0.0550,3046,4554,0.668863
5,4,1518,0.293277,0.0700,4002,4554,0.878788
5,6,2496,0.482226,0.0050,182,7488,0.024306
5,6,2496,0.482226,0.0100,462,7488,0.061699
5,6,2496,0.482226,0.0150,694,7488,0.092682
5,6,2496,0.482226,0.0200,1074,7488,0.143429
5,6,2496,0.482226,0.0250,1458,7488,0.194712
5,6,2496,0.482226,0.0300,1864,7488,0.248932
5,6,2496,0.482226,0.0350,2337,7488,0.312099
5,6,2496,0.482226,0.0450,3461,7488,0.462206
5,6,2496,0.482226,0.0550,4715,7488,0.629674
5,6,2496,0.482226,0.0700,6303,7488,0.841747
5,8,347,0.067040,0.0050,25,1041,0.024015
5,8,347,0.067040,0.0100,72,1041,0.069164
5,8,347,0.067040,0.0150,103,1041,0.098943
5,8,347,0.067040,0.0200,139,1041,0.133525
5,8,347,0.067040,0.0250,212,1041,0.203650
5,8,347,0.067040,0.0300,262,1041,0.251681
5,8,347,0.067040,0.0350,316,1041,0.303554
5,8,347,0.067040,0.0450,467,1041,0.448607
5,8,347,0.067040,0.0550,624,1041,0.599424
5,8,347,0.067040,0.0700,880,1041,0.845341
6,2,351,0.142451,0.0050,146,1053,0.138651
6,2,351,0.142451,0.0100,276,1053,0.262108
6,2,351,0.142451,0.0150,410,1053,0.389364
6,2,351,0.142451,0.0200,522,1053,0.495726
6,2,351,0.142451,0.0250,610,1053,0.579297
6,2,351,0.142451,0.0300,692,1053,0.657170
6,2,351,0.142451,0.0350,745,1053,0.707502
6,2,351,0.142451,0.0450,850,1053,0.807217
6,2,351,0.142451,0.0550,951,1053,0.903134
6,2,351,0.142451,0.0700,1031,1053,0.979107
6,4,524,0.212662,0.0050,57,1572,0.036260
6,4,524,0.212662,0.0100,135,1572,0.085878
6,4,524,0.212662,0.0150,219,1572,0.139313
6,4,524,0.212662,0.0200,308,1572,0.195929
6,4,524,0.212662,0.0250,387,1572,0.246183
6,4,524,0.212662,0.0300,508,1572,0.323155
6,4,524,0.212662,0.0350,617,1572,0.392494
6,4,524,0.212662,0.0450,903,1572,0.574427
6,4,524,0.212662,0.0550,1148,1572,0.730280
6,4,524,0.212662,0.0700,1437,1572,0.914122
6,6,1073,0.435471,0.0050,109,3219,0.033861
6,6,1073,0.435471,0.0100,268,3219,0.083256
6,6,1073,0.435471,0.0150,361,3219,0.112147
6,6,1073,0.435471,0.0200,530,3219,0.164647
6,6,1073,0.435471,0.0250,719,3219,0.223361
6,6,1073,0.435471,0.0300,922,3219,0.286424
6,6,1073,0.435471,0.0350,1171,3219,0.363778
6,6,1073,0.435471,0.0450,1661,3219,0.515999
6,6,1073,0.435471,0.0550,2168,3219,0.673501
6,6,1073,0.435471,0.0700,2860,3219,0.888475
6,8,514,0.208604,0.0050,50,1542,0.032425
6,8,514,0.208604,0.0100,132,1542,0.085603
6,8,514,0.208604,0.0150,159,1542,0.103113
6,8,514,0.208604,0.0200,279,1542,0.180934
6,8,514,0.208604,0.0250,317,1542,0.205577
6,8,514,0.208604,0.0300,433,1542,0.280804
6,8,514,0.208604,0.0350,525,1542,0.340467
6,8,514,0.208604,0.0450,755,1542,0.489624
6,8,514,0.208604,0.0550,1038,1542,0.673152
6,8,514,0.208604,0.0700,1381,1542,0.895590
6,10,2,0.000812,0.0050,0,6,0.000000
6,10,2,0.000812,0.0100,0,6,0.000000
6,10,2,0.000812,0.0150,0,6,0.000000
6,10,2,0.000812,0.0200,0,6,0.000000
6,10,2,0.000812,0.0250,2,6,0.333333
6,10,2,0.000812,0.0300,1,6,0.166667
6,10,2,0.000812,0.0350,4,6,0.666667
6,10,2,0.000812,0.0450,3,6,0.500000
6,10,2,0.000812,0.0550,4,6,0.666667
6,10,2,0.000812,0.0700,5,6,0.833333
7,2,134,0.112985,0.0050,70,402,0.174129
7,2,134,0.112985,0.0100,125,402,0.310945
7,2,134,0.112985,0.0150,175,402,0.435323
7,2,134,0.112985,0.0200,218,402,0.542289
7,2,134,0.112985,0.0250,249,402,0.619403
7,2,134,0.112985,0.0300,274,402,0.681592
7,2,134,0.112985,0.0350,308,402,0.766169
7,2,134,0.112985,0.0450,346,402,0.860697
7,2,134,0.112985,0.0550,381,402,0.947761
7,2,134,0.112985,0.0700,400,402,0.995025
7,4,193,0.162732,0.0050,26,579,0.044905
7,4,193,0.162732,0.0100,59,579,0.101900
7,4,193,0.162732,0.0150,87,579,0.150259
7,4,193,0.162732,0.0200,127,579,0.219344
7,4,193,0.162732,0.0250,160,579,0.276339
7,4,193,0.162732,0.0300,201,579,0.347150
7,4,193,0.162732,0.0350,253,579,0.436960
7,4,193,0.162732,0.0450,323,579,0.557858
7,4,193,0.162732,0.0550,443,579,0.765112
7,4,193,0.162732,0.0700,542,579,0.936097
7,6,460,0.387858,0.0050,54,1380,0.039130
7,6,460,0.387858,0.0100,138,1380,0.100000
7,6,460,0.387858,0.0150,191,1380,0.138406
7,6,460,0.387858,0.0200,268,1380,0.194203
7,6,460,0.387858,0.0250,356,1380,0.257971
7,6,460,0.387858,0.0300,419,1380,0.303623
7,6,460,0.387858,0.0350,553,1380,0.400725
7,6,460,0.387858,0.0450,765,1380,0.554348
